First Name,Last Name,Team City,Team Name,Number,Height (feet),Height (inches),Weight,Position,Age,College,Salary
Dewayne,Dedmon,Philadelphia,76ers,14,6,10,245 lbs,C,33,USC,"$580,373"
Joel,Embiid,Philadelphia,76ers,21,7,0,280 lbs,C,29,Kansas,"$33,616,770"
James,Harden,Philadelphia,76ers,1,6,5,220 lbs,SG,33,Arizona State,"$33,000,000"
Montrezl,Harrell,Philadelphia,76ers,5,6,7,240 lbs,C,29,Louisville,"$2,463,490"
Tobias,Harris,Philadelphia,76ers,12,6,7,226 lbs,PF,30,Tennessee,"$37,633,050"
Danuel,House Jr.,Philadelphia,76ers,25,6,6,220 lbs,SF,29,Texas A&M,"$4,105,000"
Louis,King,Philadelphia,76ers,23,6,7,205 lbs,SF,23,Oregon,--
Furkan,Korkmaz,Philadelphia,76ers,30,6,7,202 lbs,SG,25,--,"$5,000,000"
Tyrese,Maxey,Philadelphia,76ers,0,6,2,200 lbs,PG,22,Kentucky,"$2,726,880"
Mac,McClung,Philadelphia,76ers,9,6,2,185 lbs,SG,24,Texas Tech,--
Jalen,McDaniels,Philadelphia,76ers,7,6,9,205 lbs,PF,25,San Diego State,"$1,930,681"
De'Anthony,Melton,Philadelphia,76ers,8,6,2,200 lbs,SG,24,USC,"$8,250,000"
Shake,Milton,Philadelphia,76ers,18,6,5,205 lbs,SG,26,SMU,"$1,977,718"
Georges,Niang,Philadelphia,76ers,20,6,7,230 lbs,SF,29,Iowa State,"$3,465,000"
Paul,Reed,Philadelphia,76ers,44,6,9,210 lbs,SF,23,DePaul,"$1,782,621"
Jaden,Springer,Philadelphia,76ers,11,6,4,202 lbs,G,20,Tennessee,"$2,125,200"
P.J.,Tucker,Philadelphia,76ers,17,6,5,245 lbs,PF,37,Texas,"$10,490,000"
RJ,Barrett,New York,Knicks,9,6,6,214 lbs,SG,22,Duke,"$10,900,635"
Jalen,Brunson,New York,Knicks,11,6,1,190 lbs,PG,26,Villanova,"$27,733,332"
Evan,Fournier,New York,Knicks,13,6,6,205 lbs,SG,30,--,"$18,000,000"
Quentin,Grimes,New York,Knicks,6,6,4,210 lbs,SG,22,Houston,"$2,277,000"
Josh,Hart,New York,Knicks,3,6,4,215 lbs,SG,28,Villanova,"$12,960,000"
Isaiah,Hartenstein,New York,Knicks,55,7,0,250 lbs,C,24,--,"$7,804,879"
DaQuan,Jeffries,New York,Knicks,8,6,5,222 lbs,SG,25,Western Texas Coll. (J.C.),"$1,701,593"
Trevor,Keels,New York,Knicks,3,6,4,221 lbs,G,19,Duke,--
Miles,McBride,New York,Knicks,2,6,2,195 lbs,PG,22,West Virginia,"$1,563,518"
Immanuel,Quickley,New York,Knicks,5,6,3,190 lbs,SG,23,Kentucky,"$2,316,240"
Julius,Randle,New York,Knicks,30,6,8,250 lbs,PF,28,Kentucky,"$23,760,000"
Mitchell,Robinson,New York,Knicks,23,7,0,240 lbs,C,24,--,"$17,045,454"
Derrick,Rose,New York,Knicks,4,6,3,200 lbs,PG,34,Memphis,"$14,520,730"
Jericho,Sims,New York,Knicks,45,6,9,250 lbs,C,24,Texas,"$1,639,842"
Obi,Toppin,New York,Knicks,1,6,9,220 lbs,PF,25,Dayton,"$5,348,280"
Duane,Washington Jr.,New York,Knicks,4,6,2,197 lbs,PG,23,Ohio State,"$1,563,518"
Lonzo,Ball,Chicago,Bulls,2,6,6,190 lbs,PG,25,UCLA,"$19,534,884"
